id,title,type,brand,zona,status,confidence,risco,updated,n_fontes,tiers,path
00-indice-mestre,Índice mestre,moc,,universal,draft,alta,,2026-07-26,1,campo-proprio,_moc/00-indice-mestre.md
aces,ACES (Academy Color Encoding System),pipeline-cor,,universal,draft,media,,2026-07-26,1,oficial,conceitos/cor/aces.md
alexa-35,ARRI ALEXA 35,camera,arri,universal,draft,media,,2026-07-26,2,lab|oficial,captacao/cameras/arri/alexa-35.md
ampas,AMPAS (Academy of Motion Picture Arts and Sciences),orgao,,universal,draft,alta,,2026-07-26,1,oficial,conceitos/orgaos/ampas.md
aputure,Aputure,marca,,universal,draft,alta,,2026-07-26,1,oficial,marcas/aputure.md
arri,ARRI,marca,,universal,draft,alta,,2026-07-26,1,oficial,marcas/arri.md
arri-wide-gamut-4,ARRI Wide Gamut 4,colorspace,arri,universal,draft,media,,2026-07-26,1,oficial,conceitos/cor/arri-wide-gamut-4.md
arriraw,ARRIRAW,codec,arri,universal,draft,media,,2026-07-26,1,oficial,conceitos/codecs/arriraw.md
atem-constellation-8k,Blackmagic ATEM Constellation 8K,switcher,blackmagic-design,universal,draft,alta,,2026-07-26,4,educacao|oficial,live/switchers/atem-constellation-8k.md
atem-constellation-hd,Blackmagic ATEM Constellation HD e 4K Plus,switcher,blackmagic-design,universal,stub,baixa,,2026-07-26,1,oficial,live/switchers/atem-constellation-hd.md
bat--b-mount,B-Mount (padrão de bateria),battery-mount,,universal,draft,media,,2026-07-26,1,oficial,_meta/vocab/bat--b-mount.md
blackmagic-design,Blackmagic Design,marca,,universal,draft,alta,,2026-07-26,1,oficial,marcas/blackmagic-design.md
braw,Blackmagic RAW,codec,blackmagic-design,universal,draft,alta,,2026-07-26,1,oficial,conceitos/codecs/braw.md
cri-tlci-ssi,"CRI, TLCI, SSI e TM-30 — qualidade de cor de fixture",conceito,,universal,draft,media,,2026-07-26,1,oficial,luz/conceitos/cri-tlci-ssi.md
diretor-de-fotografia,Diretor de fotografia (DoP),funcao,,universal,draft,media,,2026-07-26,1,educacao,producao/funcoes/diretor-de-fotografia.md
ecossistema-blackmagic,Ecossistema Blackmagic,ecossistema,blackmagic-design,universal,draft,alta,,2026-07-26,1,oficial,marcas/ecossistema-blackmagic.md
evoke-2400b,Nanlux Evoke 2400B,fixture,nanlux,universal,draft,media,,2026-07-26,1,oficial,luz/fixtures/nanlux/evoke-2400b.md
filtro-nd,Filtro ND (densidade neutra),conceito,,universal,draft,alta,,2026-07-26,1,oficial,conceitos/tecnicas/filtro-nd.md
flicker-parede-led,Flicker ou banda horizontal filmando parede de LED,problema,,universal,draft,media,,2026-07-26,2,comunidade|oficial,troubleshooting/flicker-parede-led.md
fx6,Sony FX6,camera,sony,universal,draft,alta,,2026-07-26,4,comunidade|lab|oficial,captacao/cameras/sony/fx6.md
gaffer,Gaffer (chefe de elétrica),funcao,,universal,draft,media,,2026-07-26,1,educacao,producao/funcoes/gaffer.md
genlock,Genlock (sincronismo de referência),conceito,,universal,draft,alta,,2026-07-26,1,oficial,conceitos/sinais/genlock.md
itu-r,ITU-R (União Internacional de Telecomunicações — setor de rádio),orgao,,universal,draft,alta,,2026-07-26,1,oficial,conceitos/orgaos/itu-r.md
